____	-1	NOT_TERMINAL	NOT_NUM	var	no	singleOrRecId
eps	-1	eps	NOT_NUM	option_single_constructed	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	singleOrRecId	no	option_single_constructed
____	-1	NOT_TERMINAL	NOT_NUM	factor	no	var
____	-1	NOT_TERMINAL	NOT_NUM	term	no	factor
____	-1	NOT_TERMINAL	NOT_NUM	arithmeticExpression	no	term
eps	-1	eps	NOT_NUM	termPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	term	no	termPrime
____	-1	NOT_TERMINAL	NOT_NUM	assignmentStmt	no	arithmeticExpression
-	17	TK_MINUS	NOT_NUM	lowPrecedenceOperators	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	expPrime	no	lowPrecedenceOperators
____	-1	NOT_TERMINAL	NOT_NUM	arithmeticExpression	no	expPrime
c3	17	TK_ID	NOT_NUM	singleOrRecId	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	var	no	singleOrRecId
eps	-1	eps	NOT_NUM	option_single_constructed	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	singleOrRecId	no	option_single_constructed
____	-1	NOT_TERMINAL	NOT_NUM	factor	no	var
____	-1	NOT_TERMINAL	NOT_NUM	term	no	factor
____	-1	NOT_TERMINAL	NOT_NUM	expPrime	no	term
eps	-1	eps	NOT_NUM	termPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	term	no	termPrime
eps	-1	eps	NOT_NUM	expPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	expPrime	no	expPrime
;	17	TK_SEM	NOT_NUM	assignmentStmt	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	otherStmts	no	stmt
____	-1	NOT_TERMINAL	NOT_NUM	otherStmts	no	otherStmts
while	18	TK_WHILE	NOT_NUM	iterativeStmt	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	stmt	no	iterativeStmt
(	18	TK_OP	NOT_NUM	iterativeStmt	yes	NOT_NON_TERMINAL
b5b567	18	TK_ID	NOT_NUM	singleOrRecId	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	var	no	singleOrRecId
eps	-1	eps	NOT_NUM	option_single_constructed	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	singleOrRecId	no	option_single_constructed
____	-1	NOT_TERMINAL	NOT_NUM	booleanExpression	no	var
____	-1	NOT_TERMINAL	NOT_NUM	iterativeStmt	no	booleanExpression
<=	18	TK_LE	NOT_NUM	relationalOp	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	booleanExpression	no	relationalOp
d5cc34	18	TK_ID	NOT_NUM	singleOrRecId	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	var	no	singleOrRecId
eps	-1	eps	NOT_NUM	option_single_constructed	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	singleOrRecId	no	option_single_constructed
____	-1	NOT_TERMINAL	NOT_NUM	booleanExpression	no	var
)	18	TK_CL	NOT_NUM	iterativeStmt	yes	NOT_NON_TERMINAL
read	19	TK_READ	NOT_NUM	ioStmt	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	stmt	no	ioStmt
(	19	TK_OP	NOT_NUM	ioStmt	yes	NOT_NON_TERMINAL
c3bd	19	TK_ID	NOT_NUM	singleOrRecId	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	var	no	singleOrRecId
eps	-1	eps	NOT_NUM	option_single_constructed	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	singleOrRecId	no	option_single_constructed
____	-1	NOT_TERMINAL	NOT_NUM	ioStmt	no	var
)	19	TK_CL	NOT_NUM	ioStmt	yes	NOT_NON_TERMINAL
;	19	TK_SEM	NOT_NUM	ioStmt	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	iterativeStmt	no	stmt
d3	20	TK_ID	NOT_NUM	singleOrRecId	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	assignmentStmt	no	singleOrRecId
eps	-1	eps	NOT_NUM	option_single_constructed	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	singleOrRecId	no	option_single_constructed
____	-1	NOT_TERMINAL	NOT_NUM	stmt	no	assignmentStmt
<---	20	TK_ASSIGNOP	NOT_NUM	assignmentStmt	yes	NOT_NON_TERMINAL
d3	20	TK_ID	NOT_NUM	singleOrRecId	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	var	no	singleOrRecId
eps	-1	eps	NOT_NUM	option_single_constructed	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	singleOrRecId	no	option_single_constructed
____	-1	NOT_TERMINAL	NOT_NUM	factor	no	var
____	-1	NOT_TERMINAL	NOT_NUM	term	no	factor
____	-1	NOT_TERMINAL	NOT_NUM	arithmeticExpression	no	term
eps	-1	eps	NOT_NUM	termPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	term	no	termPrime
____	-1	NOT_TERMINAL	NOT_NUM	assignmentStmt	no	arithmeticExpression
+	20	TK_PLUS	NOT_NUM	lowPrecedenceOperators	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	expPrime	no	lowPrecedenceOperators
____	-1	NOT_TERMINAL	NOT_NUM	arithmeticExpression	no	expPrime
c3bd	20	TK_ID	NOT_NUM	singleOrRecId	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	var	no	singleOrRecId
eps	-1	eps	NOT_NUM	option_single_constructed	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	singleOrRecId	no	option_single_constructed
____	-1	NOT_TERMINAL	NOT_NUM	factor	no	var
____	-1	NOT_TERMINAL	NOT_NUM	term	no	factor
____	-1	NOT_TERMINAL	NOT_NUM	expPrime	no	term
eps	-1	eps	NOT_NUM	termPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	term	no	termPrime
eps	-1	eps	NOT_NUM	expPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	expPrime	no	expPrime
;	20	TK_SEM	NOT_NUM	assignmentStmt	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	otherStmts	no	stmt
____	-1	NOT_TERMINAL	NOT_NUM	iterativeStmt	no	otherStmts
b5b567	21	TK_ID	NOT_NUM	singleOrRecId	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	assignmentStmt	no	singleOrRecId
eps	-1	eps	NOT_NUM	option_single_constructed	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	singleOrRecId	no	option_single_constructed
____	-1	NOT_TERMINAL	NOT_NUM	stmt	no	assignmentStmt
<---	21	TK_ASSIGNOP	NOT_NUM	assignmentStmt	yes	NOT_NON_TERMINAL
b5b567	21	TK_ID	NOT_NUM	singleOrRecId	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	var	no	singleOrRecId
eps	-1	eps	NOT_NUM	option_single_constructed	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	singleOrRecId	no	option_single_constructed
____	-1	NOT_TERMINAL	NOT_NUM	factor	no	var
____	-1	NOT_TERMINAL	NOT_NUM	term	no	factor
____	-1	NOT_TERMINAL	NOT_NUM	arithmeticExpression	no	term
eps	-1	eps	NOT_NUM	termPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	term	no	termPrime
____	-1	NOT_TERMINAL	NOT_NUM	assignmentStmt	no	arithmeticExpression
+	21	TK_PLUS	NOT_NUM	lowPrecedenceOperators	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	expPrime	no	lowPrecedenceOperators
____	-1	NOT_TERMINAL	NOT_NUM	arithmeticExpression	no	expPrime
1	21	TK_NUM	1	var	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	factor	no	var
____	-1	NOT_TERMINAL	NOT_NUM	term	no	factor
____	-1	NOT_TERMINAL	NOT_NUM	expPrime	no	term
eps	-1	eps	NOT_NUM	termPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	term	no	termPrime
eps	-1	eps	NOT_NUM	expPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	expPrime	no	expPrime
;	21	TK_SEM	NOT_NUM	assignmentStmt	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	otherStmts	no	stmt
____	-1	NOT_TERMINAL	NOT_NUM	otherStmts	no	otherStmts
eps	-1	eps	NOT_NUM	otherStmts	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	otherStmts	no	otherStmts
endwhile	22	TK_ENDWHILE	NOT_NUM	iterativeStmt	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	otherStmts	no	stmt
____	-1	NOT_TERMINAL	NOT_NUM	otherStmts	no	otherStmts
eps	-1	eps	NOT_NUM	otherStmts	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	otherStmts	no	otherStmts
return	23	TK_RETURN	NOT_NUM	returnStmt	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	stmts	no	returnStmt
[	23	TK_SQL	NOT_NUM	optionalReturn	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	returnStmt	no	optionalReturn
d3	23	TK_ID	NOT_NUM	idList	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	optionalReturn	no	idList
eps	-1	eps	NOT_NUM	more_ids	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	idList	no	more_ids
]	23	TK_SQR	NOT_NUM	optionalReturn	yes	NOT_NON_TERMINAL
;	23	TK_SEM	NOT_NUM	returnStmt	yes	NOT_NON_TERMINAL
end	24	TK_END	NOT_NUM	function	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	program	no	otherFunctions
eps	-1	eps	NOT_NUM	otherFunctions	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	otherFunctions	no	otherFunctions
eps	-1	NOT_TERMINAL	NOT_NUM	no	ROOT	program
_main	27	TK_MAIN	NOT_NUM	mainFunction	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	program	no	mainFunction
record	28	TK_RECORD	NOT_NUM	typeDefinition	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	actualOrRedefined	no	typeDefinition
#one	28	TK_RUID	NOT_NUM	typeDefinition	yes	NOT_NON_TERMINAL
type	29	TK_TYPE	NOT_NUM	fieldDefinition	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	fieldDefinitions	no	fieldDefinition
real	29	TK_REAL	NOT_NUM	primitiveDatatype	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	fieldType	no	primitiveDatatype
____	-1	NOT_TERMINAL	NOT_NUM	fieldDefinition	no	fieldType
:	29	TK_COLON	NOT_NUM	fieldDefinition	yes	NOT_NON_TERMINAL
x	29	TK_FIELDID	NOT_NUM	fieldDefinition	yes	NOT_NON_TERMINAL
;	29	TK_SEM	NOT_NUM	fieldDefinition	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	typeDefinition	no	fieldDefinitions
type	30	TK_TYPE	NOT_NUM	fieldDefinition	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	fieldDefinitions	no	fieldDefinition
real	30	TK_REAL	NOT_NUM	primitiveDatatype	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	fieldType	no	primitiveDatatype
____	-1	NOT_TERMINAL	NOT_NUM	fieldDefinition	no	fieldType
:	30	TK_COLON	NOT_NUM	fieldDefinition	yes	NOT_NON_TERMINAL
y	30	TK_FIELDID	NOT_NUM	fieldDefinition	yes	NOT_NON_TERMINAL
;	30	TK_SEM	NOT_NUM	fieldDefinition	yes	NOT_NON_TERMINAL
eps	-1	eps	NOT_NUM	moreFields	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	fieldDefinitions	no	moreFields
endrecord	31	TK_ENDRECORD	NOT_NUM	typeDefinition	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	typeDefinitions	no	actualOrRedefined
____	-1	NOT_TERMINAL	NOT_NUM	stmts	no	typeDefinitions
definetype	32	TK_DEFINETYPE	NOT_NUM	definetypestmt	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	actualOrRedefined	no	definetypestmt
record	32	TK_RECORD	NOT_NUM	A	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	definetypestmt	no	A
#one	32	TK_RUID	NOT_NUM	definetypestmt	yes	NOT_NON_TERMINAL
as	32	TK_AS	NOT_NUM	definetypestmt	yes	NOT_NON_TERMINAL
#point	32	TK_RUID	NOT_NUM	definetypestmt	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	typeDefinitions	no	actualOrRedefined
____	-1	NOT_TERMINAL	NOT_NUM	typeDefinitions	no	typeDefinitions
definetype	33	TK_DEFINETYPE	NOT_NUM	definetypestmt	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	actualOrRedefined	no	definetypestmt
record	33	TK_RECORD	NOT_NUM	A	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	definetypestmt	no	A
#two	33	TK_RUID	NOT_NUM	definetypestmt	yes	NOT_NON_TERMINAL
as	33	TK_AS	NOT_NUM	definetypestmt	yes	NOT_NON_TERMINAL
#line	33	TK_RUID	NOT_NUM	definetypestmt	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	typeDefinitions	no	actualOrRedefined
____	-1	NOT_TERMINAL	NOT_NUM	typeDefinitions	no	typeDefinitions
union	34	TK_UNION	NOT_NUM	typeDefinition	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	actualOrRedefined	no	typeDefinition
#four	34	TK_RUID	NOT_NUM	typeDefinition	yes	NOT_NON_TERMINAL
type	35	TK_TYPE	NOT_NUM	fieldDefinition	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	fieldDefinitions	no	fieldDefinition
#line	35	TK_RUID	NOT_NUM	fieldType	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	fieldDefinition	no	fieldType
:	35	TK_COLON	NOT_NUM	fieldDefinition	yes	NOT_NON_TERMINAL
ln	35	TK_FIELDID	NOT_NUM	fieldDefinition	yes	NOT_NON_TERMINAL
;	35	TK_SEM	NOT_NUM	fieldDefinition	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	typeDefinition	no	fieldDefinitions
type	36	TK_TYPE	NOT_NUM	fieldDefinition	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	fieldDefinitions	no	fieldDefinition
#point	36	TK_RUID	NOT_NUM	fieldType	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	fieldDefinition	no	fieldType
:	36	TK_COLON	NOT_NUM	fieldDefinition	yes	NOT_NON_TERMINAL
pt	36	TK_FIELDID	NOT_NUM	fieldDefinition	yes	NOT_NON_TERMINAL
;	36	TK_SEM	NOT_NUM	fieldDefinition	yes	NOT_NON_TERMINAL
type	37	TK_TYPE	NOT_NUM	fieldDefinition	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	moreFields	no	fieldDefinition
#traingle	37	TK_RUID	NOT_NUM	fieldType	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	fieldDefinition	no	fieldType
:	37	TK_COLON	NOT_NUM	fieldDefinition	yes	NOT_NON_TERMINAL
