____	-1	NOT_TERMINAL	NOT_NUM	term	no	factor
____	-1	NOT_TERMINAL	NOT_NUM	arithmeticExpression	no	term
eps	-1	eps	NOT_NUM	termPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	term	no	termPrime
____	-1	NOT_TERMINAL	NOT_NUM	factor	no	arithmeticExpression
-	12	TK_MINUS	NOT_NUM	lowPrecedenceOperators	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	expPrime	no	lowPrecedenceOperators
____	-1	NOT_TERMINAL	NOT_NUM	arithmeticExpression	no	expPrime
2.350000	12	TK_RNUM	2.350000	var	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	factor	no	var
____	-1	NOT_TERMINAL	NOT_NUM	term	no	factor
____	-1	NOT_TERMINAL	NOT_NUM	expPrime	no	term
eps	-1	eps	NOT_NUM	termPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	term	no	termPrime
eps	-1	eps	NOT_NUM	expPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	expPrime	no	expPrime
)	12	TK_CL	NOT_NUM	factor	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	arithmeticExpression	no	term
*	12	TK_MUL	NOT_NUM	highPrecedenceOperators	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	termPrime	no	highPrecedenceOperators
____	-1	NOT_TERMINAL	NOT_NUM	term	no	termPrime
(	12	TK_OP	NOT_NUM	factor	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	termPrime	no	factor
2345	12	TK_NUM	2345	var	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	factor	no	var
____	-1	NOT_TERMINAL	NOT_NUM	term	no	factor
____	-1	NOT_TERMINAL	NOT_NUM	arithmeticExpression	no	term
eps	-1	eps	NOT_NUM	termPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	term	no	termPrime
____	-1	NOT_TERMINAL	NOT_NUM	factor	no	arithmeticExpression
-	12	TK_MINUS	NOT_NUM	lowPrecedenceOperators	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	expPrime	no	lowPrecedenceOperators
____	-1	NOT_TERMINAL	NOT_NUM	arithmeticExpression	no	expPrime
234	12	TK_NUM	234	var	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	factor	no	var
____	-1	NOT_TERMINAL	NOT_NUM	term	no	factor
____	-1	NOT_TERMINAL	NOT_NUM	expPrime	no	term
*	12	TK_MUL	NOT_NUM	highPrecedenceOperators	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	termPrime	no	highPrecedenceOperators
____	-1	NOT_TERMINAL	NOT_NUM	term	no	termPrime
8	12	TK_NUM	8	var	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	factor	no	var
____	-1	NOT_TERMINAL	NOT_NUM	termPrime	no	factor
eps	-1	eps	NOT_NUM	termPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	termPrime	no	termPrime
eps	-1	eps	NOT_NUM	expPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	expPrime	no	expPrime
)	12	TK_CL	NOT_NUM	factor	yes	NOT_NON_TERMINAL
eps	-1	eps	NOT_NUM	termPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	termPrime	no	termPrime
____	-1	NOT_TERMINAL	NOT_NUM	factor	no	arithmeticExpression
eps	-1	eps	NOT_NUM	expPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	arithmeticExpression	no	expPrime
)	12	TK_CL	NOT_NUM	factor	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	arithmeticExpression	no	term
eps	-1	eps	NOT_NUM	termPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	term	no	termPrime
____	-1	NOT_TERMINAL	NOT_NUM	assignmentStmt	no	arithmeticExpression
+	12	TK_PLUS	NOT_NUM	lowPrecedenceOperators	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	expPrime	no	lowPrecedenceOperators
____	-1	NOT_TERMINAL	NOT_NUM	arithmeticExpression	no	expPrime
5	12	TK_NUM	5	var	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	factor	no	var
____	-1	NOT_TERMINAL	NOT_NUM	term	no	factor
____	-1	NOT_TERMINAL	NOT_NUM	expPrime	no	term
*	12	TK_MUL	NOT_NUM	highPrecedenceOperators	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	termPrime	no	highPrecedenceOperators
____	-1	NOT_TERMINAL	NOT_NUM	term	no	termPrime
c3	12	TK_ID	NOT_NUM	singleOrRecId	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	var	no	singleOrRecId
eps	-1	eps	NOT_NUM	option_single_constructed	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	singleOrRecId	no	option_single_constructed
____	-1	NOT_TERMINAL	NOT_NUM	factor	no	var
____	-1	NOT_TERMINAL	NOT_NUM	termPrime	no	factor
eps	-1	eps	NOT_NUM	termPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	termPrime	no	termPrime
eps	-1	eps	NOT_NUM	expPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	expPrime	no	expPrime
;	12	TK_SEM	NOT_NUM	assignmentStmt	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	otherStmts	no	stmt
____	-1	NOT_TERMINAL	NOT_NUM	otherStmts	no	otherStmts
if	13	TK_IF	NOT_NUM	conditionalStmt	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	stmt	no	conditionalStmt
(	13	TK_OP	NOT_NUM	conditionalStmt	yes	NOT_NON_TERMINAL
(	13	TK_OP	NOT_NUM	booleanExpression	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	conditionalStmt	no	booleanExpression
~	13	TK_NOT	NOT_NUM	booleanExpression	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	booleanExpression	no	booleanExpression
(	13	TK_OP	NOT_NUM	booleanExpression	yes	NOT_NON_TERMINAL
c4bbb	13	TK_ID	NOT_NUM	singleOrRecId	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	var	no	singleOrRecId
eps	-1	eps	NOT_NUM	option_single_constructed	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	singleOrRecId	no	option_single_constructed
____	-1	NOT_TERMINAL	NOT_NUM	booleanExpression	no	var
____	-1	NOT_TERMINAL	NOT_NUM	booleanExpression	no	booleanExpression
==	13	TK_EQ	NOT_NUM	relationalOp	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	booleanExpression	no	relationalOp
0	13	TK_NUM	0	var	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	booleanExpression	no	var
)	13	TK_CL	NOT_NUM	booleanExpression	yes	NOT_NON_TERMINAL
)	13	TK_CL	NOT_NUM	booleanExpression	yes	NOT_NON_TERMINAL
&&&	13	TK_AND	NOT_NUM	logicalOp	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	booleanExpression	no	logicalOp
(	13	TK_OP	NOT_NUM	booleanExpression	yes	NOT_NON_TERMINAL
c4bbb	13	TK_ID	NOT_NUM	singleOrRecId	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	var	no	singleOrRecId
eps	-1	eps	NOT_NUM	option_single_constructed	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	singleOrRecId	no	option_single_constructed
____	-1	NOT_TERMINAL	NOT_NUM	booleanExpression	no	var
____	-1	NOT_TERMINAL	NOT_NUM	booleanExpression	no	booleanExpression
>	13	TK_GT	NOT_NUM	relationalOp	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	booleanExpression	no	relationalOp
78.559998	13	TK_RNUM	78.559998	var	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	booleanExpression	no	var
)	13	TK_CL	NOT_NUM	booleanExpression	yes	NOT_NON_TERMINAL
)	13	TK_CL	NOT_NUM	conditionalStmt	yes	NOT_NON_TERMINAL
then	14	TK_THEN	NOT_NUM	conditionalStmt	yes	NOT_NON_TERMINAL
c6	15	TK_ID	NOT_NUM	singleOrRecId	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	assignmentStmt	no	singleOrRecId
eps	-1	eps	NOT_NUM	option_single_constructed	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	singleOrRecId	no	option_single_constructed
____	-1	NOT_TERMINAL	NOT_NUM	stmt	no	assignmentStmt
<---	15	TK_ASSIGNOP	NOT_NUM	assignmentStmt	yes	NOT_NON_TERMINAL
d4cbcd5677	15	TK_ID	NOT_NUM	singleOrRecId	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	var	no	singleOrRecId
eps	-1	eps	NOT_NUM	option_single_constructed	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	singleOrRecId	no	option_single_constructed
____	-1	NOT_TERMINAL	NOT_NUM	factor	no	var
____	-1	NOT_TERMINAL	NOT_NUM	term	no	factor
____	-1	NOT_TERMINAL	NOT_NUM	arithmeticExpression	no	term
/	15	TK_DIV	NOT_NUM	highPrecedenceOperators	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	termPrime	no	highPrecedenceOperators
____	-1	NOT_TERMINAL	NOT_NUM	term	no	termPrime
c4bbb	15	TK_ID	NOT_NUM	singleOrRecId	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	var	no	singleOrRecId
eps	-1	eps	NOT_NUM	option_single_constructed	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	singleOrRecId	no	option_single_constructed
____	-1	NOT_TERMINAL	NOT_NUM	factor	no	var
____	-1	NOT_TERMINAL	NOT_NUM	termPrime	no	factor
eps	-1	eps	NOT_NUM	termPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	termPrime	no	termPrime
____	-1	NOT_TERMINAL	NOT_NUM	assignmentStmt	no	arithmeticExpression
eps	-1	eps	NOT_NUM	expPrime	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	arithmeticExpression	no	expPrime
;	15	TK_SEM	NOT_NUM	assignmentStmt	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	conditionalStmt	no	stmt
eps	-1	eps	NOT_NUM	otherStmts	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	conditionalStmt	no	otherStmts
else	16	TK_ELSE	NOT_NUM	elsePart	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	conditionalStmt	no	elsePart
write	17	TK_WRITE	NOT_NUM	ioStmt	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	stmt	no	ioStmt
(	17	TK_OP	NOT_NUM	ioStmt	yes	NOT_NON_TERMINAL
c4bbb	17	TK_ID	NOT_NUM	singleOrRecId	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	var	no	singleOrRecId
eps	-1	eps	NOT_NUM	option_single_constructed	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	singleOrRecId	no	option_single_constructed
____	-1	NOT_TERMINAL	NOT_NUM	ioStmt	no	var
)	17	TK_CL	NOT_NUM	ioStmt	yes	NOT_NON_TERMINAL
;	17	TK_SEM	NOT_NUM	ioStmt	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	elsePart	no	stmt
eps	-1	eps	NOT_NUM	otherStmts	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	elsePart	no	otherStmts
endif	18	TK_ENDIF	NOT_NUM	elsePart	yes	NOT_NON_TERMINAL
____	-1	NOT_TERMINAL	NOT_NUM	otherStmts	no	stmt
